timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1753495200000,0.1167800,0.1172900,0.1119000,0.1133400,96508503,1753496999999,11071910.7707100,56808,42374255,4861527.0183800,0
1753497000000,0.1133000,0.1161500,0.1123400,0.1149400,80883127,1753498799999,9280304.0393300,49828,44568426,5118424.1020800,0
1753498800000,0.1149400,0.1173200,0.1146600,0.1157400,59563220,1753500599999,6892873.6374600,38771,35792188,4144447.5189800,0
1753500600000,0.1157400,0.1157600,0.1136500,0.1139900,58999705,1753502399999,6758864.8928600,32048,28433266,3257359.1956200,0
1753502400000,0.1139600,0.1145000,0.1118100,0.1127600,67831647,1753504199999,7662027.6408200,45710,33325052,3764189.1120400,0
1753504200000,0.1127600,0.1127600,0.1100000,0.1116700,83564101,1753505999999,9277288.4402000,41740,40380234,4483030.0470200,0
1753506000000,0.1116400,0.1123900,0.1108200,0.1109600,49762568,1753507799999,5553018.6834700,31263,27169397,3032775.5806900,0
1753507800000,0.1110000,0.1128900,0.1109900,0.1126000,52884221,1753509599999,5934490.9050900,32156,31106573,3490913.4849300,0
1753509600000,0.1126000,0.1140400,0.1120100,0.1125400,62691598,1753511399999,7089820.6275300,37680,35080228,3968681.1808400,0
1753511400000,0.1125200,0.1127400,0.1081100,0.1091500,110447163,1753513199999,12167356.9544700,50333,46495413,5121912.7614700,0
1753513200000,0.1091500,0.1138300,0.1091500,0.1128600,109977233,1753514999999,12315734.1764300,53800,64392419,7204944.6952200,0
1753515000000,0.1128600,0.1136400,0.1122500,0.1126400,41233196,1753516799999,4651837.9828500,27093,19109081,2156097.9109300,0
1753516800000,0.1126600,0.1128200,0.1099000,0.1102800,77085645,1753518599999,8573581.7041100,37461,36683377,4080079.9980100,0
1753518600000,0.1102700,0.1119900,0.1100300,0.1117200,45011792,1753520399999,5005052.0299300,28203,27414812,3048072.5225900,0
1753520400000,0.1117200,0.1136500,0.1113400,0.1135300,57967811,1753522199999,6515896.5014800,34249,32621760,3668477.6272100,0
1753522200000,0.1135300,0.1136500,0.1116500,0.1126000,48115422,1753523999999,5421348.4690300,30726,23643811,2665233.4123600,0
1753524000000,0.1125900,0.1128500,0.1104000,0.1108200,50840088,1753525799999,5654996.9319300,29475,22867849,2543164.5680200,0
1753525800000,0.1108000,0.1114600,0.1103900,0.1111900,36635106,1753527599999,4066374.3775800,24134,18232347,2024422.1816700,0
1753527600000,0.1111700,0.1114600,0.1099300,0.1112200,48028704,1753529399999,5322399.5379500,24053,23969055,2657922.8642400,0
1753529400000,0.1112200,0.1112300,0.1093700,0.1099800,52275846,1753531199999,5759532.5316500,27357,25554214,2816140.5225500,0
1753531200000,0.1099700,0.1100100,0.1033100,0.1074200,291929309,1753532999999,31041838.7647100,99233,128531181,13667093.6718200,0
1753533000000,0.1074100,0.1074200,0.1044800,0.1066300,109901151,1753534799999,11603975.3278800,59018,56276276,5941673.3015400,0
1753534800000,0.1066200,0.1070100,0.1055200,0.1064300,78391638,1753536599999,8331503.1124000,45135,43344193,4608005.2993200,0
1753536600000,0.1064600,0.1064600,0.0991600,0.1013400,228946881,1753538399999,23454885.6370700,98828,106240506,10883985.8316400,0
1753538400000,0.1013400,0.1064400,0.0998500,0.1058500,206175657,1753540199999,21289145.9128100,103104,115134447,11899370.9838800,0
1753540200000,0.1058500,0.1064100,0.1045300,0.1053100,91467302,1753541999999,9624685.3466900,47105,45479125,4786575.4796500,0
1753542000000,0.1053100,0.1064900,0.1040900,0.1053900,89258542,1753543799999,9401482.9621900,49546,47023007,4955587.4115700,0
1753543800000,0.1054000,0.1056400,0.1035000,0.1041900,87773486,1753545599999,9162379.0059200,37952,40599095,4238995.1351200,0
1753545600000,0.1041800,0.1042400,0.1023100,0.1027500,74185341,1753547399999,7661967.0747200,35794,34190981,3532572.5340400,0
1753547400000,0.1027600,0.1039800,0.1014600,0.1025700,98837540,1753549199999,10151389.2577400,44282,54642713,5614591.5162900,0
1753549200000,0.1025700,0.1038100,0.1024000,0.1026100,51328226,1753550999999,5292938.0244100,27345,26117158,2694432.8966200,0
1753551000000,0.1026100,0.1043700,0.1022400,0.1028800,71703418,1753552799999,7393559.6903000,32166,37852056,3903508.9043500,0
1753552800000,0.1029000,0.1030400,0.1012000,0.1020200,65761380,1753554599999,6706569.6011600,29238,33513935,3417511.1028500,0
1753554600000,0.1020200,0.1021700,0.1008600,0.1019200,46600658,1753556399999,4731199.0915100,24491,22317679,2266470.7554400,0
1753556400000,0.1019200,0.1050600,0.1017000,0.1046000,82224980,1753558199999,8521241.6154500,35677,48951521,5075937.8192800,0
1753558200000,0.1046300,0.1085300,0.1044000,0.1073300,99253196,1753559999999,10569402.0019600,48955,56976575,6069432.4817800,0
1753560000000,0.1073200,0.1084900,0.1060300,0.1062500,81748351,1753561799999,8761702.6887900,40077,36335276,3897472.2086100,0
1753561800000,0.1062600,0.1066500,0.1046800,0.1063300,71678756,1753563599999,7569722.3359800,31125,35300824,3730462.1319700,0
1753563600000,0.1063400,0.1070400,0.1052800,0.1060100,38234714,1753565399999,4057646.6825600,23343,20153088,2139364.0755800,0
1753565400000,0.1060100,0.1063800,0.1046600,0.1047500,33561172,1753567199999,3537624.4115100,17533,13429118,1416483.3236100,0
1753567200000,0.1047700,0.1058300,0.1042800,0.1045100,41535649,1753568999999,4360546.8543300,24213,19562331,2055386.6199100,0
1753569000000,0.1045100,0.1055000,0.1039700,0.1048900,34249290,1753570799999,3584827.8309900,19807,17649621,1847984.2792900,0
1753570800000,0.1049000,0.1053700,0.1034800,0.1042200,34960191,1753572599999,3642335.5829200,20993,16130605,1681846.8263100,0
1753572600000,0.1042100,0.1042200,0.1031600,0.1033700,25199101,1753574399999,2614966.8756400,14957,11094675,1151890.3297300,0
1753574400000,0.1034200,0.1044700,0.1024200,0.1030000,60165131,1753576199999,6222644.7632500,31449,30683463,3176700.2298200,0
1753576200000,0.1030000,0.1032500,0.1016300,0.1020800,51129775,1753577999999,5235138.2097700,28998,23501448,2406707.7308200,0
1753578000000,0.1020800,0.1040000,0.1007900,0.1038600,63118552,1753579799999,6467237.1072000,38212,32085889,3289806.4939900,0
1753579800000,0.1038400,0.1038900,0.0985500,0.0995900,131402732,1753581599999,13205019.6655900,64389,58091017,5839541.6848900,0
1753581600000,0.0995800,0.0998400,0.0962800,0.0972000,132927672,1753583399999,13029387.0533400,66557,62506766,6130290.3280500,0
1753583400000,0.0971900,0.0990800,0.0965500,0.0985200,63485347,1753585199999,6205539.2009300,41560,33667709,3291078.4157100,0
